from,to,card_ratio,avg_ratio,chart_ratio
PSA 3,PSA 5, 0.40 , 0.55 , 0.73 
PSA 3,PSA 5.5, 0.20 , 0.70 , 0.29 
PSA 3,PSA 6, 0.15 , 0.05 , 3.00 
PSA 3,PSA 7, 0.10 , 1.50 , 0.07 
PSA 3,PSA 10, 0.05 , 0.19 , 0.26 
PSA 5,PSA 3, 2.50 , 4.20 , 0.60 
PSA 5,PSA 5.5, 0.70 , 0.65 , 1.08 
PSA 5,PSA 6, 0.50 , 0.30 , 1.67 
PSA 5,PSA 7, 0.30 , 0.80 , 0.38 
PSA 5,PSA 10, 0.12 , 0.42 , 0.29 
PSA 5.5,PSA 3, 5.00 , 0.45 , 11.11 
PSA 5.5,PSA 5, 1.43 , 1.50 , 0.95 
PSA 5.5,PSA 6, 0.85 , 0.81 , 1.05 
PSA 5.5,PSA 7, 0.82 , 1.02 , 0.80 
PSA 5.5,PSA 10, 0.40 , 0.26 , 1.54 
PSA 6,PSA 3, 6.67 , 8.50 , 0.78 
PSA 6,PSA 5, 2.00 , 2.50 , 0.80 
PSA 6,PSA 5.5, 1.18 , 1.02 , 1.15 
PSA 6,PSA 7, 0.40 , 0.59 , 0.68 
PSA 6,PSA 10, 0.02 , 0.10 , 0.20 
PSA 7,PSA 3, 10.00 , 17.00 , 0.59 
PSA 7,PSA 5, 3.33 , 4.41 , 0.76 
PSA 7,PSA 5.5, 1.22 , 1.91 , 0.64 
PSA 7,PSA 6, 2.50 , 0.40 , 6.25 
PSA 7,PSA 10, 0.24 , 0.08 , 2.95 
PSA 10,PSA 3, 20.00 , 5.50 , 3.64 
PSA 10,PSA 5, 8.33 , 4.00 , 2.08 
PSA 10,PSA 5.5, 2.50 , 1.90 , 1.32 
PSA 10,PSA 6, 50.00 , 29.00 , 1.72 
PSA 10,PSA 7, 4.13 , 4.00 , 1.03 
